ISBN,freq_R,freq_G,freq_B,mean_R,mean_G,mean_B,median_R,median_G,median_B,dominant_R,dominant_G,dominant_B
000160418X,200.9375814863103,224.8021512385919,249.8846153846154,184.5953358344785,187.27280612330762,185.14098405446606,193.59790828640385,193.60444444444445,205.7832679738562,193,204,215
000712032X,140.30099962976675,101.54152782919907,52.00592373195113,160.8256553868977,135.51773006201347,93.79471521054651,152.52357784431138,142.94199101796409,73.07381687242798,128,96,57
013091830X,109.58025236036354,46.13050383834819,49.98147004323656,107.64946835631501,79.08135358334144,66.71607714332563,109.58025236036354,59.543648719289074,53.23732357553581,111,61,61
014000971X,247.70740839796738,245.8505839350985,238.33288758134972,202.52681836956012,201.95159844178878,191.96446259346965,221.38768844221104,220.47663316582916,207.90402010050252,237,235,226
014003885X,250.97221965851406,251.41652053530225,248.07125057683433,147.07808793473424,143.57046751414615,139.16919932559213,149.32308358596796,143.4382849718493,137.22650498051104,35,30,26
014013770X,12.561005707234305,16.011337343822305,18.844747801943544,142.9597243422212,135.5869838052723,123.01159294748216,159.09437386569874,144.54748941318815,124.18330308529946,21,24,26
014014921X,247.65323771356253,247.54186880404978,247.65323771356253,160.11115083805032,123.02443040648407,105.07475363579363,187.25152129817445,109.33070452155626,72.53877551020408,35,23,26
014017897X,96.70119889332923,60.76406394097756,50.56901321856748,97.96859097863953,65.58135024308426,54.76952036178498,96.70119889332923,60.76406394097756,50.56901321856748,102,64,52
014018421X,32.009201585503966,35.9404020385051,29.423697621744054,136.22822151997633,140.78269132674333,132.96535420636184,132.42759237187127,137.3283671036949,125.98063170441002,213,219,213
014025093X,245.68027135231316,238.27802491103202,221.42348754448398,186.41066422111783,141.90176031851087,121.23473283297122,184.5249429409847,148.51224209078404,115.7009628610729,242,232,211
014026065X,252.74768657213235,253.8774382531123,192.5423074362559,201.65348079936402,206.8961982049676,201.15142685974328,208.0636896046852,208.1727672035139,192.5423074362559,235,238,198
014026437X,241.43539421440727,240.6341463414634,242.804310833806,143.11934306766904,142.86105322877899,154.14400241146893,157.431133888533,156.94875080076875,161.52530429212044,86,87,88
014032495X,63.4840701407755,92.39911089157816,104.75648308224253,128.7936275456657,130.87702731806888,98.59040849996407,128.89636819035692,126.58672510958047,104.75648308224253,75,94,98
014036966X,135.4533735600658,96.19007131102578,76.62589138782226,163.6901638738148,128.19496296357607,108.58140877934734,177.4227330779055,120.2367816091954,89.38927203065134,133,97,81
014038166X,70.16941875825627,61.97082782915015,49.42426243945398,118.94459945868648,105.9319983174141,84.79815934502764,102.18911617136241,87.02315708220765,67.5887688151293,66,58,47
014038426X,116.42056338028169,177.77154929577466,57.60253521126761,147.46187873875732,115.24705155925892,73.41606750823306,145.81032376298106,121.30480317804262,57.60253521126761,126,163,66
014039091X,17.771518702118072,10.528616493916179,12.46822893195133,106.7566026349449,87.0788448617176,82.96139070577952,93.7876275510204,65.22576530612245,54.8781887755102,212,181,176
014043187X,5.200020431096128,3.640412708141792,5.071100214526509,130.03208965081552,117.81819791489902,100.42991338765287,133.69201130233753,109.29642948882609,94.19368096583612,230,219,179
014046753X,230.5153354632588,220.48600638977635,210.36523961661342,140.47483470829403,127.82058572861702,125.16848526772296,149.28114807566863,105.91715590345727,119.12158681092221,229,219,209
014086346X,64.6710189452125,112.7336576207544,159.75362689878818,152.42273559757382,134.8271743288462,110.20783971414853,165.52716143840857,114.28107009820522,101.29156789705384,74,115,147
014131091X,34.212092714499086,36.57050395530232,74.93649388726006,115.88877185005867,81.21694135620693,95.61372266855626,130.99797297297297,58.339670468948036,74.93649388726006,39,37,75
015114978X,249.69326155916562,239.27655483995002,221.40421032394502,190.17901686893956,164.0431851652279,154.18939216396623,165.55947955390334,191.98848368522073,168.34715928895085,233,223,202
015204941X,19.598099571734476,5.3812901498929335,15.002810492505354,135.2802880166337,93.12084544945508,100.53516336742474,134.75519046759342,62.338869832099654,71.42263946560752,41,18,31
015600013X,232.01591015442207,204.506317267197,158.01275152082357,134.97109956030155,137.05950450239624,126.16221182378835,133.4848372781065,133.60720983538238,130.5366124260355,217,172,138
015601209X,243.60924226979273,199.02723977800431,43.57531996828633,172.1585492980813,143.98269723847358,59.49938909279548,216.0618081180812,173.3270295202952,47.476950354609926,241,195,48
019289143X,149.32147080959038,113.97064831738523,76.35243522201914,181.65450632610663,144.43320390654347,98.85634644066192,187.568359375,136.81904400606982,76.35243522201914,141,102,60
019509915X,252.30031880977683,252.24091392136026,251.97194473963867,124.76285609022344,112.02221388771238,91.90633076887507,103.70447895566059,95.90479405806887,83.9628629304524,48,42,36
020140821X,234.50260145681582,182.65192507804372,124.45642559833507,162.03326834512853,144.71353543092772,131.56941595949766,180.66480446927375,134.96601489757916,124.45642559833507,216,169,118
020162236X,253.80186198564422,253.78814583185275,253.35008172837752,191.45711182997695,150.36653876531236,144.80103676498464,196.63191153238546,145.12876712328767,138.6635616438356,178,74,64
025320660X,20.692300019948135,40.81168960702174,43.785358069020546,93.59433851574927,124.48643100677687,119.74614353480463,88.64717025811035,136.38936049801924,103.26308311626805,179,180,181
