User-ID,Location,Age,Country,Age-Group
183,"porto, porto, portugal",27.0,portugal,2
242,"neuffen, baden-wuerttemberg, germany",37.0,germany,3
254,"minneapolis, minnesota, usa",24.0,usa,2
388,"nashville, tennessee, usa",35.0,usa,3
392,"barcelona, catalunya, spain",44.0,spain,4
503,"el centro, california, usa",40.0,usa,4
505,"washington, dc, usa",51.0,usa,5
625,"marseille, provence, france",41.0,france,4
626,"graz, steiermark, austria",41.0,austria,4
638,"san diego, california, usa",20.0,usa,2
643,"grenoble, rhone-alpes, france",23.0,france,2
651,"interlachen, florida, usa",26.0,usa,2
709,"roanoke, virginia, usa",14.0,usa,1
741,"novinger, missouri, usa",16.0,usa,1
805,"sonoma, california, usa",34.0,usa,3
850,"bremen, bremen, germany",22.0,germany,2
882,"berkeley, california, usa",23.0,usa,2
899,"bielefeld, nordrhein-westfalen, germany",23.0,germany,2
901,"worcester, worcestershire, united kingdom",21.0,united kingdom,2
914,"griesheim, hessen, germany",51.0,germany,5
1025,"maidstone, england, united kingdom",33.0,united kingdom,3
1129,"bothell, washington, usa",53.0,usa,5
1192,"klang, selangor, malaysia",27.0,malaysia,2
1211,"rennes, bretagne, france",22.0,france,2
1372,"frankfurt, hessen, germany",34.0,germany,3
1435,"st. louis, missouri, usa",36.0,usa,3
1466,"cologne, nordrhein-westfalen, germany",28.0,germany,2
1674,"minneapolis, minnesota, usa",26.0,usa,2
1725,"palma, illes balears, united kingdom",25.0,united kingdom,2
1733,"independence, west virginia, usa",30.0,usa,3
1903,"hualien, taiwan, taiwan",36.0,taiwan,3
2009,"wuppertal, nordrhein-westfalen, germany",31.0,germany,3
2030,"seabeck, washington, usa",31.0,usa,3
2033,"omaha, nebraska, usa",27.0,usa,2
2084,"logro�o, la rioja, spain",21.0,spain,2
2179,"sunderland, massachusetts, usa",30.0,usa,3
2189,"montreal, quebec, canada",24.0,canada,2
2276,"niskayuna, new york, usa",46.0,usa,4
2288,"spring hill, tennessee, usa",30.0,usa,3
2358,"bryan, texas, usa",23.0,usa,2
2406,"m�nchen, bayern, germany",48.0,germany,4
2545,"freiburg, baden-wuerttemberg, germany",48.0,germany,4
2549,"nice, alpes maritimes, france",31.0,france,3
2688,"herbolzheim, baden-wuerttemberg, germany",16.0,germany,1
2766,"frisco, texas, usa",42.0,usa,4
2793,"jefferson, georgia, usa",34.0,usa,3
2893,"hospitalet de llobregat, barcelona, spain",21.0,spain,2
2906,"paris, ile de france, france",20.0,france,2
2954,"wichita, kansas, usa",71.0,usa,7
2977,"richland, washington, usa",25.0,usa,2
3088,"avignon, vaucluse, france",25.0,france,2
3145,"austin, texas, usa",34.0,usa,3
3167,"milwaukee, wisconsin, usa",42.0,usa,4
3282,"didsbury, alberta, canada",52.0,canada,5
3326,"bonn, nordrhein-westfalen, germany",37.0,germany,3
3346,"tehran, tehran, iran",20.0,iran,2
3355,"barcelona, barcelona, spain",19.0,spain,1
3363,"knoxville, tennessee, usa",29.0,usa,2
3371,"groveland, massachusetts, usa",25.0,usa,2
3416,"aachen, nordrhein-westfalen, germany",34.0,germany,3
3427,"eldorado, illinois, usa",50.0,usa,5
3538,"madrid, madrid, spain",31.0,spain,3
3556,"bismarck, north dakota, usa",68.0,usa,6
3675,"barcelona, catalunya, spain",24.0,spain,2
3827,"orlando, florida, usa",23.0,usa,2
3840,"meriden, connecticut, usa",46.0,usa,4
3917,"toronto, ontario, canada",25.0,canada,2
4017,"new orleans, louisiana, usa",48.0,usa,4
4049,"poringland, england, united kingdom",65.0,united kingdom,6
4092,"hixson, tennessee, usa",27.0,usa,2
4131,"hemel hempstead, england, united kingdom",51.0,united kingdom,5
4144,"winnipeg, manitoba, canada",31.0,canada,3
4157,"birmingham, alabama, usa",39.0,usa,3
4223,"oldenburg, niedersachsen, germany",28.0,germany,2
4334,"rome, lazio, italy",38.0,italy,3
