User-ID,Location,Age,Country
183,"porto, porto, portugal",27.0,portugal
242,"neuffen, baden-wuerttemberg, germany",37.0,germany
254,"minneapolis, minnesota, usa",24.0,usa
388,"nashville, tennessee, usa",35.0,usa
392,"barcelona, catalunya, spain",44.0,spain
503,"el centro, california, usa",40.0,usa
505,"washington, dc, usa",51.0,usa
625,"marseille, provence, france",41.0,france
626,"graz, steiermark, austria",41.0,austria
638,"san diego, california, usa",20.0,usa
643,"grenoble, rhone-alpes, france",23.0,france
651,"interlachen, florida, usa",26.0,usa
709,"roanoke, virginia, usa",14.0,usa
741,"novinger, missouri, usa",16.0,usa
805,"sonoma, california, usa",34.0,usa
850,"bremen, bremen, germany",22.0,germany
882,"berkeley, california, usa",23.0,usa
899,"bielefeld, nordrhein-westfalen, germany",23.0,germany
901,"worcester, worcestershire, united kingdom",21.0,united kingdom
914,"griesheim, hessen, germany",51.0,germany
1025,"maidstone, england, united kingdom",33.0,united kingdom
1129,"bothell, washington, usa",53.0,usa
1192,"klang, selangor, malaysia",27.0,malaysia
1211,"rennes, bretagne, france",22.0,france
1372,"frankfurt, hessen, germany",34.0,germany
1435,"st. louis, missouri, usa",36.0,usa
1466,"cologne, nordrhein-westfalen, germany",28.0,germany
1674,"minneapolis, minnesota, usa",26.0,usa
1725,"palma, illes balears, united kingdom",25.0,united kingdom
1733,"independence, west virginia, usa",30.0,usa
1903,"hualien, taiwan, taiwan",36.0,taiwan
2009,"wuppertal, nordrhein-westfalen, germany",31.0,germany
2030,"seabeck, washington, usa",31.0,usa
2033,"omaha, nebraska, usa",27.0,usa
2084,"logro�o, la rioja, spain",21.0,spain
2179,"sunderland, massachusetts, usa",30.0,usa
2189,"montreal, quebec, canada",24.0,canada
2276,"niskayuna, new york, usa",46.0,usa
2288,"spring hill, tennessee, usa",30.0,usa
2358,"bryan, texas, usa",23.0,usa
2406,"m�nchen, bayern, germany",48.0,germany
2545,"freiburg, baden-wuerttemberg, germany",48.0,germany
2549,"nice, alpes maritimes, france",31.0,france
2688,"herbolzheim, baden-wuerttemberg, germany",16.0,germany
2766,"frisco, texas, usa",42.0,usa
2793,"jefferson, georgia, usa",34.0,usa
2893,"hospitalet de llobregat, barcelona, spain",21.0,spain
2906,"paris, ile de france, france",20.0,france
2954,"wichita, kansas, usa",71.0,usa
2977,"richland, washington, usa",25.0,usa
3088,"avignon, vaucluse, france",25.0,france
3145,"austin, texas, usa",34.0,usa
3167,"milwaukee, wisconsin, usa",42.0,usa
3282,"didsbury, alberta, canada",52.0,canada
3326,"bonn, nordrhein-westfalen, germany",37.0,germany
3346,"tehran, tehran, iran",20.0,iran
3355,"barcelona, barcelona, spain",19.0,spain
3363,"knoxville, tennessee, usa",29.0,usa
3371,"groveland, massachusetts, usa",25.0,usa
3416,"aachen, nordrhein-westfalen, germany",34.0,germany
3427,"eldorado, illinois, usa",50.0,usa
3538,"madrid, madrid, spain",31.0,spain
3556,"bismarck, north dakota, usa",68.0,usa
3675,"barcelona, catalunya, spain",24.0,spain
3827,"orlando, florida, usa",23.0,usa
3840,"meriden, connecticut, usa",46.0,usa
3917,"toronto, ontario, canada",25.0,canada
4017,"new orleans, louisiana, usa",48.0,usa
4049,"poringland, england, united kingdom",65.0,united kingdom
4092,"hixson, tennessee, usa",27.0,usa
4131,"hemel hempstead, england, united kingdom",51.0,united kingdom
4144,"winnipeg, manitoba, canada",31.0,canada
4157,"birmingham, alabama, usa",39.0,usa
4223,"oldenburg, niedersachsen, germany",28.0,germany
4334,"rome, lazio, italy",38.0,italy
4385,"albq, new mexico, usa",33.0,usa
4401,"boston, massachusetts, usa",28.0,usa
4420,"balgach, st.gallen, switzerland",24.0,switzerland
4622,"norfolk, virginia, usa",18.0,usa
4785,"litchfield, connecticut, usa",30.0,usa
4802,"london, england, united kingdom",28.0,united kingdom
4896,"ploiesti, prahova, romania",18.0,romania
4938,"charleston, south carolina, usa",30.0,usa
5127,"castelnovo monti (re), emilia romagna, italy",33.0,italy
5158,"lyon, rhone, france",21.0,france
5204,"lyon, rh�ne-alpes, france",24.0,france
5208,"brest, bretagne, france",20.0,france
5209,"medford, new jersey, usa",48.0,usa
5225,"edewecht, niedersachsen, germany",27.0,germany
5287,"ottawa, ontario, canada",22.0,canada
5331,"hull, england, united kingdom",26.0,united kingdom
5350,"k�ln, nordrhein-westfalen, germany",20.0,germany
5439,"houston, texas, usa",66.0,usa
5483,"bayan lepas, penang, malaysia",20.0,malaysia
5539,"austin, texas, usa",32.0,usa
5543,"cumberland, maryland, usa",29.0,usa
5582,"seattle, washington, usa",26.0,usa
5609,"oradea, bihor, romania",25.0,romania
5694,"lake forest, california, usa",43.0,usa
5834,"aachen, nordrhein-westfalen, germany",26.0,germany
5899,"ulm, baden-wuerttemberg, germany",25.0,germany
5903,"vienna, vienna, austria",25.0,austria
5956,"indianapolis, indiana, usa",27.0,usa
6051,"austin, texas, usa",33.0,usa
6251,"wahiawa, hawaii, usa",32.0,usa
6323,"wilmington, north carolina, usa",35.0,usa
6360,"ourense, galicia, spain",21.0,spain
6366,"madrid, madrid, spain",20.0,spain
6431,"wylie, texas, usa",30.0,usa
6543,"strafford, missouri, usa",34.0,usa
6563,"burien, washington, usa",31.0,usa
6564,"lisboa, estremadura, portugal",37.0,portugal
6577,"coral springs, florida, usa",62.0,usa
6703,"cadiz, andalucia, spain",24.0,spain
6731,"buford, georgia, usa",29.0,usa
6866,"paris, ile de france, france",51.0,france
6894,"colorado springs, colorado, usa",20.0,usa
6900,"sunnyvale, california, usa",25.0,usa
7060,"wild rose, wisconsin, usa",16.0,usa
7125,"apo, ae, usa",28.0,usa
7128,"apo, ae, usa",8.0,usa
7132,"m�laga, m�laga, spain",44.0,spain
7158,"omaha, nebraska, usa",30.0,usa
7181,"oviedo, asturias, spain",24.0,spain
7283,"saint marys, georgia, usa",30.0,usa
7286,"pasco, washington, usa",28.0,usa
7312,"walnut ridge, arkansas, usa",23.0,usa
7346,"sunnyvale, california, usa",49.0,usa
7371,"winnipeg, manitoba, canada",26.0,canada
7547,"leipzig, sachsen, germany",36.0,germany
7620,"knoxville, tennessee, usa",21.0,usa
7637,"tavistock, ontario, canada",28.0,canada
7887,"altoona, pennsylvania, usa",23.0,usa
7958,"oeiras, lisbon, portugal",27.0,portugal
8067,"owings mills, maryland, usa",26.0,usa
8094,"ourense, ourense, spain",13.0,spain
8234,"colorado springs, colorado, usa",44.0,usa
8245,"torrance, california, usa",31.0,usa
8250,"carrollton, texas, usa",34.0,usa
8253,"tulsa, oklahoma, usa",26.0,usa
8255,"savage, minnesota, usa",47.0,usa
8284,"manchester, kentucky, usa",28.0,usa
8314,"newark, california, usa",36.0,usa
8344,"hamburg, hamburg, germany",35.0,germany
8362,"los angeles, california, usa",28.0,usa
8419,"fribourg, fribourg, switzerland",21.0,switzerland
8483,"worms, rheinland-pfalz, germany",36.0,germany
8487,"carrollton, texas, usa",30.0,usa
8512,"barcelona, catalunya, spain",43.0,spain
8660,"innsbruck, tirol, austria",25.0,austria
8681,"orlando, florida, usa",34.0,usa
8765,"san bartolom� lanzarote, las palmas, spain",60.0,spain
8782,"calgary, alberta, canada",239.0,canada
8801,"san francisco, california, usa",24.0,usa
8815,"birmingham, england, united kingdom",23.0,united kingdom
8870,"austin, texas, usa",45.0,usa
8890,"paris, ile-de-france, france",47.0,france
8936,"elizabeth city, north carolina, usa",18.0,usa
8971,"berlin, berlin, germany",27.0,germany
9141,"durango, colorado, usa",65.0,usa
9143,"madrid, madrid, spain",47.0,spain
9227,"glendora, california, usa",24.0,usa
9354,"albuquerque, new mexico, usa",30.0,usa
9417,"whitby, ontario, canada",26.0,canada
9440,"indianapolis, indiana, usa",21.0,usa
9571,"reinbek, schleswig-holstein, germany",27.0,germany
9613,"collings lakes, new jersey, usa",34.0,usa
9660,"albuquerque, new mexico, usa",35.0,usa
9856,"glendale, colorado, usa",22.0,usa
9908,"woodstock, georgia, usa",36.0,usa
10030,"pittsburgh, pennsylvania, usa",66.0,usa
10067,"watton, norfolk, england",61.0,england
10118,"minneapolis, minnesota, usa",44.0,usa
